scores	doc_id	relevant	text
0.97613174	497	yes	"theoretical and experimental investigation of thermal
stresses in hypersonic aircraft wing structures .
  a simple and relatively accurate analytic approximation is
developed to determine the temperature and thermal-stress
distribution in aircraft wing structures .  theoretical investigations
show that the results of the existing thermal-stress theories
which neglect the temperature gradient through the skin
thickness may exceed, in the range of higher biot numbers, the true
values by more than 30 percent .
  refined photothermoelastic experiments verify these results
and add another significant conclusion .  they indicate that
thermal stresses in wing structures generated by a variable
heat-transfer coefficient coincide with the theoretical predictions
which are based on a constant heat-transfer coefficient, as long
as the latter represents the arithmetic average over the heating
cycle and the variation is in the order of 10 percent .
however, even much greater variations in the order of 100 percent
produce only relatively small differences ."
1.0046315	395	no	"new methods in heat flow analysis with application
to flight structures .
  new methods are presented for the analysis of transient heat
flow in complex structures, leading to drastic simplifications in
the calculation and the possibility of including nonlinear and
surface effects .  these methods are in part a direct application of
some general variational principles developed earlier for linear
thermodynamics .  they are further developed in the
particular case of purely thermal problems to include surface and
boundary-layer heat transfer, nonlinear systems with
temperature-dependent parameters, and radiation .  the concepts of
thermal potential, dissipation function, and generalized thermal
force are introduced, leading to ordinary differential equations
of the lagrangian type for the thermal flow field .  because of the
particular nature of heat flow phenomena, compared with
dynamics, suitable procedures must be developed in order to formulate
each problem in the simplest way .  this is done by treating a
number of examples .  the concepts of penetration depth and
transit time are introduced and discussed in connection with
one-dimensional flow .  application of the general method to the
heating of a slab, with temperature-dependent heat capacity,
shows a substantial difference between the heating and cooling
processes .  an example of heat flow analysis of a supersonic wing
structure by the present method is also given and requires only
extremely simple calculations .  the results are found to be in
good agreement with those obtained by the classical and much
more elaborate procedures ."
1.0227115	29	yes	"a simple model study of transient temperature and thermal
stress distribution due to aerodynamic heating .
  the present work is concerned with the determination of
transient temperatures and thermal stresses in simple models intended
to simulate parts or the whole of an aircraft structure of the built-
up variety subjected to aerodynamic heating .
  the first case considered is that of convective heat transfer
into one side of a flat plate, representing a thick skin, and the
effect of the resulting temperature distribution in inducing
thermal stresses associated with bending restraint at the plate edges .
numerical results are presented for the transient temperature
differentials in the plate when the environment temperature first
increases linearly with time and then remains constant, the
period of linear increase representing the time of acceleration of
the aircraft .  corresponding thermal stress information is
presented .
  the second case is that of the wide-flanged i-beam with
convective heat transfer into the outer faces of the flanges .  numerical
results are presented for transient temperature differentials for a
wide range of values of the applicable parameters and for an
environment temperature variation as described above .
corresponding thermal stresses in a beam of infinite length are
determined .  a theoretical analysis of the stress distribution in a beam
of finite length is carried out and numerical results obtained for
one case .  an experimental investigation of temperatures and
stresses in such a beam is described, and results are presented
which indicate good agreement with corresponding theoretical
results ."
1.0256772	378	yes	"engineering relations for friction and heat transfer to surfaces in high
 velocity flow .
in calculations of thermodynamic heating for high speed missiles
parameters have been used based on relationships which hold for
constant-property fluids . the validity of this procedure has been verified
recently in a survey of heat transfer in which a relationship for the
reference temperature was developed . a calculation procedure for
laminar and turbulent boundary layers, based on this relationship, is
given ."
1.0266706	195	yes	"correlation of theoretical and photo-thermoelastic
results on thermal stresses in idealized wing structure .
after a rather complete exploratory program
described in previous papers, the
photo-thermoelastic method was applied to the
experimental evaluation of the thermal-stress
theories .  the new technique was correlated
with several theories which analyzed the
transient thermal stresses in idealized wing
structures of high-speed aircraft .  various
theories were investigated which represented
the same idealized wing models and
differed from each other only in the simplifying
assumptions regarding the temperature
distributions in skin and webs .  the theories
were evaluated by duplicating the boundary
and initial conditions on plastic models and
then by correlating the theories with the
observed fringe orders in nondimensional form .
a significant general conclusion was
reached after correlating the available theories
and experimental results .  owing to
simplifying assumptions concerning the thermal
behavior in the flanges, thermal
stresses predicted by the available theories are all
higher than the experimental
observation .  in some cases the discrepancy is as great as 30 per cent ."
1.0464978	1361	no	"large deflections of structures subjected to heating
and external loads .
  the method of direct formulation of the stiffness matrix is
extended to include the effects of nonuniform heating and large
deflections .  the purpose is to develop an analytical tool for the
treatment of actual structures .
  in the solution of aeroelastic problems the relations between
forces and deflections must be determined .  the usual stiffness
matrix formulation of this relationship is limited to small
temperature changes and small deflections .  for large temperature
changes additional terms are required .  also the problem
becomes geometrically nonlinear when large deflections are
involved .  to overcome the inherent difficulties of the nonlinear
problem for practical structures either an iterative or a step-
by-step procedure must be used .  the force-deformation relations
necessary for this step-by-step or iterative approach are derived
for an axially loaded member and for a plate element including
the effects of thermal strains ."
1.0499271	1305	no	"a proposed programme of wind tunnel tests at hypersonic
speeds to investigate the lifting properties of geometrically
slender shapes .
  a programme of tests at hypersonic
speeds on slender bodies is
described, which has the aim of
investigating how lift is generated, and
the compromises that may be enforced
by aerodynamic heating .  the programme
is based on models of simple geometric
shape, from which lifting
configurations will later be built up ."
1.0507625	1104	no	"aerodynamic heating of blunt nose shapes at mach numbers up to 14 .
results are presented from recent investigations of the aerodynamic
heating rates of blunt nose shapes at mach numbers up to 14 . data
obtained in flight and wind-tunnel tests have shown that the flat-faced
cylinder has about 50 percent the stagnation-point heating rates of the
hemisphere over nearly the entire mach number range . tests made at a
mach number of 2 on a series of bodies made up of hemispherical segments
 of varying radius of curvature showed that slight amounts of curvature
can decrease the local rates at the edge of the flat-faced cylinders
with only a slight increase in the stagnation rate . the total heat
transfer to such slightly curved bodies is also somewhat smaller than
the total heat transfer to flat-faced cylinders .
comparison of several tests with theoretical heating-rate distributions
showed that both laminar and turbulent local rates can be predicted by
available theories /given the pressure distribution about the body/
reasonably well, although the scatter of the available data still leaves
 open the choice between the theories at the edge of the bodies, where
they usually differ .
tests on a flat-faced cylinder at a mach number of 2.49 and at angles
of attack up to 15degree showed the movement of the apparent stagnation
point from the center of the body to the 50 percent windward station at
creased about 30 percent while that near the leeward edge decreased
about 20 percent at 15degree angle of attack .
preliminary results on a concave nose have indicated the possibility
that this type of design may be developed to give heating rates
significantly lower than even the flat-faced cylinder rates . the test results
 have also shown, however, the existence of an unsteady flow phenomenon
which can increase the heating rates to extremely high values ."
1.0559542	283	no	"laminar heat transfer around blunt bodies in dissociated
air .
  a method of predicting laminar heat-transfer rates to blunt,
highly cooled bodies with constant wall temperature in dissociated
air flow is developed .  attention is restricted to the case of
axisymmetric bodies at zero incidence, although two-dimensional
bodies could be treated the same way .  the method is based on
the use of the /local similarity/ concept and an extension of the
ideas used by fay and riddell .  a simple formula is given for
predicting the ratio of local heat-transfer rate to stagnation-point
rate .  it depends on wall conditions and pressure distribution,
but not on the thermodynamic or transport properties of the hot
external flow, except at the stagnation point .
  experimental heat-transfer rates obtained with correct
stagnation-point simulation and high wall cooling in shock tubes are
also presented and compared with the theoretical predictions .
on the whole, the agreement is good, although in regions of
rapidly varying pressure there is evidence that the local similarity
assumption breaks down, and the theory underestimates the
actual heat-transfer rate by up to 25 per cent ."
1.0566474	14	yes	"piston theory - a new aerodynamic tool for the
aeroelastician .
  representative applications are described which illustrate the
extent to which simplifications in the solutions of high-speed
unsteady aeroelastic problems can be achieved through the use of
certain aerodynamic techniques known collectively as /piston
theory ./  based on a physical model originally proposed by
hayes and lighthill, piston theory for airfoils and finite wings
has been systematically developed by landahl, utilizing
expansions in powers of the thickness ratio and the inverse of the
flight mach number m .  when contributions of orders and
are negligible, the theory predicts a point-function
relationship between the local pressure on the surface of a wing and the
normal component of fluid velocity produced by the wing's
motion .  the computation of generalized forces in aeroelastic
equations, such as the flutter determinant, is then always
reduced to elementary integrations of the assumed modes of motion .
  essentially closed-form solutions are given for the bending-
torsion and control-surface flutter properties of typical section
airfoils at high mach numbers .  these agree well with results of
more exact theories wherever comparisons can be fairly made .
moreover, they demonstrate the increasingly important influence
of thickness and profile shape as m grows larger, a discovery that
would be almost impossible using other available aerodynamic
tools .  the complexity of more practical flutter analyses-e.g., on
three-dimensional wings and panels-is shown to be substantially
reduced by piston theory .  an iterative procedure is outlined, by
which improved flutter eigenvalues can be found through the
successive introduction of higher-order terms in and  .
  other applications to unsteady supersonic problems are
reviewed, including gust response and rapid maneuvers of elastic
aircraft .  steady-state aeroelastic calculations are also discussed,
but for them piston theory amounts only to a slight modification
of ackeret's formulas .
  suggestions are made regarding future research based on the
new aerodynamic method, with particular emphasis on areas where
computational labor can be reduced with a minimum loss of
precision .  it is pointed out that a mach number zone exists where
thermal effects are appreciable but nonlinear viscous interactions
may be neglected, and that in this zone piston theory is the logical
way of estimating air loads when analyzing aerodynamic-
thermoelastic interaction problems ."
1.0583538	1362	no	"non-linear analysis of heated, cambered wings by the matrix force
method .
various extensions of the matrix force method for complex structure
analysis are presented and illustrated with the objective of expanding
its range to handle the problems likely to be encountered in advanced
vehicle wing design .  methods are covered in detail for (1) determining
the change in flexibility that occurs when thermal stresses are present,
and also how large these stresses must be to cause buckling, (2)
including the non-linear effect of large deflections by an iterative
procedure, and (3) analyzing a wing that is initially slightly cambered
and warped with either or both of the aforementioned effects present .
formulas are given for calculating the input matrix terms as are the
matrix equations and supporting theoretical discussion .  an example
illustrates the nature and magnitude of the effects being examined ."
1.0600153	635	no	"heat transfer and pressure distributions on a hemisphere-cylinder and a
bluff-afterbody model
in methane-air combustion products and in air .
an experimental investigation has been made to indicate the validity of
using methane-air combustion products as the test medium for aerodynamic
heating and loading tests .  tests were conducted on a
hemisphere-cylinder and on a bluff-afterbody model, both in methane-air combustion
products and in air alone, and covered a range of mach numbers from 6 to
the data showed that the nondimensional heating-rate distribution
along a hemisphere-cylinder as obtained in combustion products was in
good agreement with that obtained in air, and the results were in
reasonable agreement with theory .  the stagnation-point heating rates
in air and in combustion products over the hemisphere-cylinder agreed
within 10 percent of the theoretical values .  the pressure
distributions around a hemisphere-cylinder obtained from tests in combution
products were in good agreement with those obtained in air and could
be predicted by newtonian flow theory .  the tests in combustion
products of a bluff-afterbody model produced nondimensional
heat-transfer coefficients which were in fair agreement with results
obtained in air ."
1.0678195	876	yes	"on flutter testing in high speed wind tunnels .
  the requirements for simulating in a wind tunnel flutter conditions
appropriate to high-speed flight are discussed, and an assessment is
made of the desirable features of a wind tunnel suitable for flutter
testing at transonic and supersonic speeds .
  it is concluded that such a tunnel should have either the mach number
or the stagnation pressure variable during the tunnel run, and that it
is of considerable advantage, and for some purposes essential, for high
stagnation pressures to be available .  the stagnation pressure required
to allow flight conditions to be simulated with a flutter model is
considered to range from at least 2 atmospheres for transonic speeds to
about 15 atmospheres for m = 4 .  no attempt to simulate kinetic heating
is envisaged, although its effect on stiffness should be allowed for in
the design of the model .  to minimise uncertainties due to the
variation of the model stiffness with temperature it is desirable that
means for controlling the stagnation temperature should be incorporated
in the tunnel ."
1.0692543	36	no	"supersonic flow around blunt bodies .
the newtonian theory of impact has been shown to be
useful for pressure calculations on the forward facing part
of bodies moving at high speed .  it is now a familiar practice
to use this information to calculate nonviscous velocities at the
wall and then to estimate rates of heat transfer .  this
procedure is perhaps open to question,. heat-transfer rates depend
on velocity gradients which are not given by the newtonian
analysis .  nor can one obtain information on boundary-layer
stability or all the body stability derivatives .  it seems,
therefore, inevitable that, as design proceeds with these hypersonic
missiles, there will be a greater need for more accurate
aerodynamic theories either to predict what will happen in unfamiliar
flight conditions or to effect an extrapolation from a known test
result to the design condition ."
1.0860994	142	yes	"the problem of aerodynamic heating .
  paper is a good review of knowledge to date on convective heat
transfer to objects moving through air at low and high speeds .
theoretical and experimental information is given on recovery
factors and heat-transfer coefficients for isothermal surfaces of
unswept flat plates, wedges and cones with attached shock waves,
and stagnation points of blunt bodies of revolution, for both
laminar and turbulent boundary layers .  a convenient nomograph for
calculating flat plate turbulent boundary-layer heat-transfer
coefficients is given .  effects of surface cooling, surface roughness,
and supply stream turbulence on transition are discussed and
shown graphically ."
1.0939949	686	no	"flutter tests of some simple models at a mach number
of 7. 2 in helium flow .
  results of hypersonic flutter
tests on some simple models are
presented .  the models had rectangular
plan forms of panel aspect ratio 1.0,
no sweepback, and bending-to-torsion
frequency ratios of about .  two
airfoil sections were included in the
tests ,. double wedges of 5-, 10-,
and 15-percent thickness and flat plates
with straight, parallel sides
and beveled leading and trailing edges .
the models were supported by a
cantilevered shaft .
  the double-wedge wings were tested
in helium at a mach number of 7.2 .
an effect of airfoil thickness on flutter
speed was found, thicker wings
requiring more stiffness to avoid flutter .
a few tests in air at a mach
number of 6.9 showed the same thickness
effect and also indicated that
tests in helium would predict conservative
flutter boundaries in air .
the data in air and helium seemed to be
correlated by piston-theory
calculations .  piston-theory calculations
agreed well with experiment for
the thinner models but began to deviate
as the thickness parameter
approached and exceeded 1.0 .
  a few tests on flat-plate models
with various elastic-axis locations
were made .  piston-theory calculations
would not satisfactorily predict
the flutter of these models, probably
because of their blunt leading
edges ."
1.1023654	1213	no	"heat transfer to slender cones in hypersonic flow,
including effects of yaw and nose bluntness .
  as part of a general study of the aerothermodynamic
characteristics of flight of hypersonic vehicles, an investigation of
laminar heat transfer to slender yawed cones has been conducted .
experiments have been made in the cal 11- by 15-in. shock
tunnel at mach numbers from 11 to 13 and at yaw angles up to
were tested .
  the heat-transfer rates are compared with theoretical
predictions .  the effects on the local heat-transfer rates of the
boundary-layer displacement thickness, transverse curvature, yaw,
nose bluntness, and the entropy sublayer are discussed .  it is
shown that, at zero yaw, the experimental data for the sharp
cone are in good agreement with theory when boundary-layer
displacement and transverse-curvature effects are included .
for the yawed sharp cone, the heat-transfer rates along the
most windward streamline are in good agreement with reshotko's
theory for yaw angles up to 3 .  at larger yaw angles, the
experimental heat transfer was found to be greater than that
predicted theoretically .  however, at these yaw angles the
heat-transfer distribution on the windward side was in good
agreement with laminar-boundary-layer calculations based on an
assumption of local similarity .  the zero-yaw tests of the blunted
cones showed qualitative agreement with cheng's shock-layer
theory for slender blunt-nose bodies ."
1.1102747	95	yes	"temperature distribution and thermal stresses in a
model of a supersonic wing .
  the transient temperature distribution and the thermal
stresses in an idealized wing structure considered by hoff and
torda in reference 1 are determined .  only the effects of
aerodynamic heating and of heat conduction are included,. radiation
and convection effects are neglected .  the present work differs
from that of reference 1 in that the conduction from the cap to
the web is considered when the temperature of the cap is
calculated, and the spar cap temperature is assumed to be a function
of both space and time .  graphs of temperature and thermal
stress distributions are presented, and the results are compared
with those of reference 1 ."
1.1111188	593	no	"theoretical considerations of flutter at high mach
number .
  some of the theories for two-dimensional oscillatory air forces
which may be applied in flutter calculations at high mach
numbers are discussed .  these include linear theory, van dyke's
second-order theory, piston theory, landahl's method,
tangent-wedge and tangent-cone approximations, newtonian theory, and
a new nonlinear-pressure method .  a comparison of the theories
is made by showing the results of flutter calculations for mach
numbers up to 10, and the possibility of flutter at these higher
mach numbers is pointed out .
  results of flutter calculations are shown to illustrate the
various effects arising from a nonlinear thickness theory .  the
possibility of large flutter speed thickness effects which depend on
frequency ratio is shown .  the influence of airfoil shape is discussed
and flutter speed trends with center of gravity and elastic axis
locations are presented .  some possible refinements of piston
theory are discussed for use at very high mach numbers .  these
include the use of local flow conditions and the use of newtonian
theory over the leading edge of a blunt-nosed airfoil ."
1.1223744	66	yes	"some effects of joint conductivity on the temperature
and thermal stresses in aerodynamically heated skin-stiffener
combinations .
  temperatures and thermal stresses in typical skin-stiffener
combinations of winglike structures subjected to aerodynamic heating have
been obtained with the aid of an electronic differential analyzer .
variations were made in an aerodynamic
heat-transfer parameter, in a joint
conductivity parameter, and in the ratio
of skin width to skin thickness .
the results, which are presented in nondimensional form, indicate that
decreasing the joint conductivity parameter lowers both the interior
and the average temperature ratios, increases the peak thermal stress
ratios in the skin, and may considerably increase the peak stiffener
stress ratios,. increasing the aerodynamic heat-transfer parameter
decreases the interior and average temperature ratios, increases the
peak skin stress ratios somewhat,
but greatly increases the peak
stiffener stress ratios,. and increasing the ratio of skin width to skin
thickness produces only moderate decreases in the peak skin stress
ratios while moderately increasing the peak stiffener stress ratios ."
1.1233196	554	no	"generalized heat transfer formulas and graphs .
  utilizing the research results of previously
reported investigations of the laminar, turbulent and
radiative heat transfer in dissociated air, some
generalized formulas for calculating heat transfer
are given .  graphs for determining the laminar
heat transfer, momentum thickness reynolds
number, and turbulent heat transfer distributions
around an axisymmetric body are also given .
these heat transfer correlations are valid for velocities
between 6000 and 26,000 fps and for altitudes
up to 250,000 ft .  this range of velocities and
altitudes covers the important re-entry regime of
practical re-entry trajectories having interest today .
in the last section of this report these
generalized results are specialized for icbm nose cone re-entry
applications .  these formulas and graphs
may be found useful for making rapid engineering
estimates and preliminary design evaluations
of the heating problems associated with re-entry
into earth's atmosphere ."
1.1289704	997	no	"experimental and theoretical studies of axisymmetric free jets .
some experimental and theoretical studies have been made of axisymmetric
 free jets exhausting from sonic and supersonic nozzles into still air
and into supersonic streams with a view toward problems associated with
propulsive jets and the investigation of these problems .
for jets exhausting into still air, consideration is given to the
effects of jet mach number, nozzle divergence angle, and jet
static-pressure ratio upon jet structure, jet wavelength, and the shape and
curvature of the jet boundary . studies of the effects of the ratio of
specific heats of the jets are included as are observations pertaining
to jet noise and jet simulation .
for jets exhausting into supersonic streams, an attempt has been made to
 present primarily theoretical curves of the type that may be useful in
evaluating certain jet interference effects and in formulating
experimental studies . the primary variables considered are jet mach number,
free-stream mach number, jet static-pressure ratio, ratio of specific
heats of the jet, nozzle exit angle, and boattail angle . the simulation
 problem and the case of a hypothetical hypersonic vehicle are examined"
1.1303717	983	no	"addendum to 'heat transfer to satellite vehicles re-entering the
atmosphere .
the original paper gave a correlation formula for stagnation point heat
transfer rate to a blunt body of revolution in hypersonic flow . this
note gives a somewhat refined version, based on further calculation and
shock tube data . its effect on the conclusions of the original paper is
 negligible except at surface temperature parameters of over 5000
r-ft1/8 . in other problems, where heat transfer rate itself is
important, it can make a significant defference ."
1.138159	141	no	"free-flight techniques for high speed aerodynamic research .
  the development rocket-borne and rocket-launched high-speed
airplane model test is described .  details of airborne components,
telemetering units, tracking, and their calibration are also discussed .
tests on controls, drag measurements, longitudinal stability
evaluations, lift measurements, pressure measurements, aeroelastic
estimations, and sonic bang recordings are effected .  the reynolds numbers
involved are much higher than are usual in the wind tunnel, and
extensions of mach numbers are obtained beyond the tunnel limits, both free
of the tunnel wall interference ."
1.1403334	56	yes	"an analysis of the applicability of the hypersonic
similarity law to the study of the flow about bodies
of revolution at zero angle of attack .
  the hypersonic similarity law as derived by tsien has been
investigated by comparing the pressure distributions along bodies of
revolution at zero angle of attack .  in making
these comparisons, particular
attention was given to determining the limits of mach number and fineness
ratio for which the similarity law applies .  for the purpose of this
investigation, pressure distributions
determined by the method of
characteristics for ogive cylinders for
values of mach numbers and fineness
ratios varying from 1.5 to 12 were compared .
pressures on various cones
and on cone cylinders were also compared in this study .
  the pressure distributions presented demonstrate that the hypersonic
similarity law is applicable over a
wider range of values of mach numbers
and fineness ratios than might be expected from the assumptions made in
the derivation .  this is significant since within the range of
applicability of the law a single pressure
distribution exists for all similarly
shaped bodies for which the ratio of
free-stream mach number to fineness
ratio is constant .  charts are presented
for rapid determination of
pressure distributions over ogive cylinders for any combination of mach
number and fineness ratio within defined limits ."
1.1414735	670	no	"on blunt-body heat transfer at hypersonic speed and low reynolds
number .
a discussion of differences arising between experimental and analytical
results, in particular those due to inconsistencies introduced in the
presentation of data and the way the comparison is made ."
1.1461288	689	no	"investigation of the laminar aerodynamics heat transfer
characteristics of a hemisphere cylinder in the langley
11-inch hypersonic tunnel at a mach number of 6. 8.
  a program to investigate the aerodynamic heat transfer of a
nonisothermal hemisphere-cylinder has been conducted in the
langley 11-inch hypersonic tunnel at a mach number of 6.8
and a reynolds number from approximately 0.14x10 to
experimental heat-transfer coefficients were slightly less over the
whole body than those predicted by the theory of stine and
wanlass (naca technical note 3344) for an isothermal
surface .  for stations within 45 of the stagnation point the
heat-transfer coefficients could be correlated by a single relation
between local stanton number and local reynolds number .
  pitot pressure profiles taken at a mach number of 6.8 on a
hemisphere-cylinder have verified that the local mach number or
velocity outside the boundary layer required in the theories may
be computed from the surface pressures by using isentropic flow
relations and conditions immediately behind a normal shock .
the experimental pressure distribution at a mach number of
velocity gradients calculated at the stagnation point by using
the modified newtonian theory vary with mach number and
are in good agreement with those obtained from measured
pressures for mach numbers from 1.2 to 6.8 .
  at the stagnation point the theory of sibulkin, in which the
diameter and conditions behind the normal shock were used,
was in good agreement with the experiment when the velocity
gradient at the stagnation point appropriate to the free-stream
mach number was used ."
1.1481844	1344	no	"atmospheric entries with vehicle lift-drag ratio modulated
to limit deceleration and rate of deceleration vehicles
with maximum lift-drag ratio of 0. 5.
  an analysis has been made of
atmosphere entries for which the
vehicle lift-drag ratio was modulated
to maintain specified maximum
decelerations and or maximum deceleration
rates .  the part of the
vehicle drag polar used during modulation
was from maximum lift
coefficient to minimum drag coefficient .  the
entries were at parabolic velocity
and the vehicle maximum lift-drag ratio
was 0.5 .  two-dimensional
trajectory calculations were made for a
nonrotating, spherical earth with an
exponential atmosphere .  the results
of the analysis indicate that for a
given initial flight-path angle,
modulation generally resulted in a
reduction of the maximum deceleration
to 60 percent of the unmodulated value or
a reduction of maximum deceleration
rate to less than 50 percent of the
unmodulated rate .  these results were
equivalent, for a maximum
deceleration of 10g, to lowering the undershoot
boundary 24 miles with a resulting
decrease in total convective heating to
the stagnation point of 22 percent .
however, the maximum convective heating
rate was increased 18 percent,. the
maximum radiative heating rate and total
radiative heating were each
increased about 10 percent ."
1.1531357	873	no	"lagrangian thermodynamics of heat transfer in systems
including fluid motion .
  the lagrangian thermodynamic equations of irreversible
processes are extended to convective heat transfer .  this
generalization provides equations for the unified analysis of transient
heat flow in complex systems comprising solid structures and
moving fluids in either laminar or turbulent flow .  the concept
of a surface-heat-transfer coefficient is eliminated from the
formulation .  the theory is developed along two different lines .  in
one approach a new concept referred to as the /trailing function/
is introduced .  it represents the surface-heat-transfer properties
and may be evaluated by quite simple but remarkably accurate
variational procedures .  the method of /associated fields/ is also
generalized to convective phenomena .  the second line of
approach extends to convective heat transfer the thermodynamic
concept of entropy production for both laminar and turbulent
flow .  the theory amounts to an extension of the
thermodynamics of irreversible processes to systems for which onsager's
relations are not valid ."
